ID,Número de Caso,Fecha,Tipo Principal,Descripción,Ubicación,¿Hubo Arresto?,Violencia Doméstica,Distrito,Barrio,Área Comunitaria,Latitud,Longitud,Año,Mes,Día,Hora,Día de la Semana,¿Es Fin de Semana?
9164758,HW309882,2013-06-08 12:45:00,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),PARK PROPERTY,Sí,No,10.0,24.0,29.0,41.865297219,-87.695870015,2013,6,8,12,Sábado,Sí
10660660,HZ411015,2016-08-28 17:00:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,No,No,8.0,13.0,65.0,41.763450783,-87.719923707,2016,8,28,17,Domingo,Sí
9616864,HX266874,2014-05-18 18:30:00,BATTERY,SIMPLE,PARK PROPERTY,Sí,No,10.0,12.0,29.0,41.858619346,-87.695672038,2014,5,18,18,Domingo,Sí
8988586,HW136000,2013-01-29 11:30:00,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Sí,No,25.0,37.0,25.0,41.905386455,-87.746030352,2013,1,29,11,Martes,No
9118533,HW263706,2013-05-05 02:00:00,THEFT,FROM BUILDING,BAR OR TAVERN,No,No,18.0,43.0,7.0,41.918817288,-87.648534275,2013,5,5,2,Domingo,Sí
9906142,HX556814,2014-12-17 09:00:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,No,No,2.0,4.0,36.0,41.827161886,-87.611731628,2014,12,17,9,Miércoles,No
9073307,HW218093,2013-04-03 18:05:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),Sí,No,16.0,45.0,11.0,41.970860678,-87.763418662,2013,4,3,18,Miércoles,No
10713594,HZ471387,2016-10-04 22:00:00,ROBBERY,STRONGARM - NO WEAPON,GROCERY FOOD STORE,No,No,24.0,50.0,2.0,41.997509629,-87.702553692,2016,10,4,22,Martes,No
9191660,HW336505,2013-06-26 17:33:00,BATTERY,SIMPLE,STREET,No,No,15.0,28.0,25.0,41.883122702,-87.746087392,2013,6,26,17,Miércoles,No
9029938,HW177707,2013-03-03 13:15:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,No,Sí,3.0,5.0,43.0,41.76895106,-87.57148207,2013,3,3,13,Domingo,Sí
9842435,HX491869,2014-11-02 08:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,3.0,7.0,43.0,41.765300599,-87.565627425,2014,11,2,8,Domingo,Sí
8716326,HV392517,2012-07-20 19:40:00,BATTERY,SIMPLE,SIDEWALK,No,No,15.0,28.0,25.0,41.877685114,-87.745847092,2012,7,20,19,Viernes,No
8900236,HV574425,2012-11-23 16:00:00,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,No,No,8.0,18.0,66.0,41.760327809,-87.702697421,2012,11,23,16,Viernes,No
9018024,HW165140,2013-02-21 14:00:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,No,No,7.0,6.0,69.0,41.764603614,-87.62814334,2013,2,21,14,Jueves,No
9852727,HX492710,2014-11-02 23:20:00,ASSAULT,SIMPLE,AIRPORT EXTERIOR - NON-SECURE AREA,No,No,16.0,41.0,76.0,41.9764212,-87.904976266,2014,11,2,23,Domingo,Sí
8988012,HW135479,2013-01-28 21:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,1.0,2.0,32.0,41.877800461,-87.633719047,2013,1,28,21,Lunes,No
10579657,HZ328408,2016-06-29 13:53:00,BATTERY,SIMPLE,STREET,Sí,No,14.0,1.0,22.0,41.914420537,-87.697108234,2016,6,29,13,Miércoles,No
10547684,HZ293739,2016-06-04 18:00:00,ASSAULT,SIMPLE,APARTMENT,No,Sí,25.0,31.0,19.0,41.929884464,-87.756363822,2016,6,4,18,Sábado,Sí
9805880,HX454728,2014-10-04 02:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,1.0,2.0,33.0,41.857519075,-87.622322079,2014,10,4,2,Sábado,Sí
10410769,HZ147601,2016-02-11 05:30:00,BATTERY,SIMPLE,CONVENIENCE STORE,Sí,No,1.0,42.0,32.0,41.882074512,-87.626753998,2016,2,11,5,Jueves,No
9405421,HW548633,2013-11-26 11:25:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),No,No,15.0,29.0,25.0,41.893602699,-87.767903749,2013,11,26,11,Martes,No
10467306,HZ206407,2016-03-30 07:45:00,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Sí,No,1.0,42.0,32.0,41.87950297,-87.626723575,2016,3,30,7,Miércoles,No
8686214,HV361836,2012-07-01 15:55:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Sí,No,19.0,46.0,3.0,41.964262868,-87.648305211,2012,7,1,15,Domingo,Sí
10638452,HZ390033,2016-08-13 06:00:00,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Sí,Sí,5.0,9.0,49.0,41.68684468,-87.619456048,2016,8,13,6,Sábado,Sí
10591517,HZ342841,2016-07-09 23:10:00,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Sí,No,11.0,24.0,25.0,41.868617725,-87.743631799,2016,7,9,23,Sábado,Sí
8543764,HV219472,2012-03-29 12:00:00,DECEPTIVE PRACTICE,FORGERY,GAS STATION,No,No,9.0,3.0,37.0,41.823556849,-87.631367455,2012,3,29,12,Jueves,No
8910555,HV583516,2012-11-30 16:30:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,No,No,19.0,44.0,6.0,41.934325528,-87.640407923,2012,11,30,16,Viernes,No
10786779,HZ555460,2016-12-17 20:15:00,THEFT,OVER $500,CTA TRAIN,No,No,9.0,3.0,37.0,41.809125265,-87.631906508,2016,12,17,20,Sábado,Sí
9859874,HX509670,2014-11-16 08:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,No,No,11.0,28.0,27.0,41.886560206,-87.716062887,2014,11,16,8,Domingo,Sí
9347570,HW490983,2013-10-13 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,No,Sí,4.0,7.0,43.0,41.758193816,-87.560038524,2013,10,13,3,Domingo,Sí
9412353,HW555983,2013-12-02 01:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,No,No,25.0,31.0,20.0,41.932251636,-87.736816754,2013,12,2,1,Lunes,No
8886369,HV561025,2012-11-13 22:00:00,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,No,No,25.0,31.0,22.0,41.926774014,-87.72683566,2012,11,13,22,Martes,No
8524580,HV202189,2012-03-17 17:45:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,No,No,17.0,39.0,14.0,41.971210909,-87.713440694,2012,3,17,17,Sábado,Sí
9067376,HW212202,2013-03-30 03:30:00,BURGLARY,FORCIBLE ENTRY,RESTAURANT,No,No,25.0,30.0,19.0,41.929680945,-87.766188771,2013,3,30,3,Sábado,Sí
8987652,HW135184,2013-01-28 17:15:00,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Sí,No,15.0,29.0,25.0,41.886483926,-87.765083641,2013,1,28,17,Lunes,No
8705616,HV381845,2012-07-14 00:15:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Sí,No,12.0,25.0,31.0,41.858014772,-87.65203558,2012,7,14,0,Sábado,Sí
9496023,HX150335,2014-02-13 19:46:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,Sí,No,11.0,28.0,26.0,41.885487535,-87.726422045,2014,2,13,19,Jueves,No
9281326,HW425897,2013-08-27 12:30:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,No,No,4.0,8.0,48.0,41.726055034,-87.579828521,2013,8,27,12,Martes,No
9278182,HW422920,2013-08-16 17:00:00,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,No,No,16.0,41.0,76.0,41.979006297,-87.906463155,2013,8,16,17,Viernes,No
9334513,HW476323,2013-10-02 08:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,No,Sí,18.0,27.0,8.0,41.907153315,-87.639680572,2013,10,2,8,Miércoles,No
10615901,HZ368520,2016-07-27 20:00:00,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,Sí,Sí,16.0,38.0,17.0,41.95630943,-87.787982151,2016,7,27,20,Miércoles,No
9329852,HW473739,2013-09-30 14:40:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Sí,No,11.0,24.0,27.0,41.873298345,-87.713209082,2013,9,30,14,Lunes,No
9497939,HX152551,2014-02-11 08:00:00,THEFT,$500 AND UNDER,STREET,No,No,17.0,33.0,21.0,41.940815951,-87.697867718,2014,2,11,8,Martes,No
10747159,HZ508402,2016-11-09 07:30:00,THEFT,$500 AND UNDER,CAR WASH,No,No,3.0,5.0,43.0,41.763847835,-87.585863339,2016,11,9,7,Miércoles,No
10785044,HZ553176,2016-12-15 21:31:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,VEHICLE NON-COMMERCIAL,Sí,No,9.0,14.0,63.0,41.799324948,-87.684590302,2016,12,15,21,Jueves,No
9944984,HY133228,2015-01-29 17:45:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Sí,No,1.0,2.0,32.0,41.867346388,-87.632166244,2015,1,29,17,Jueves,No
10588366,HZ339016,2016-07-06 20:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,No,No,8.0,13.0,65.0,41.776158933,-87.723916058,2016,7,6,20,Miércoles,No
10798687,HZ569070,2016-12-26 20:00:00,BATTERY,SIMPLE,SIDEWALK,No,No,1.0,42.0,32.0,41.881942619,-87.634349546,2016,12,26,20,Lunes,No
9326835,HW470028,2013-09-27 12:30:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,No,No,14.0,35.0,22.0,41.930915922,-87.70005707,2013,9,27,12,Viernes,No
